ID,LifeHistory,Sex,StStrength_Kin_LowPrey,StStrength_Kin_HighPrey,StStrength_Non-kin_LowPrey,StStrength_Non-kin_HighPrey
23s,Adult,f,0.134,0.137,0.056,0.062
27,Adult,f,0.138,0.177,0.041,0.092
79,Adult,f,0.114,0.176,0.086,0.059
ali,Adult,f,0.05,0.06,0.043,0.039
amar,Adult,f,0.049,0.054,0.029,0.035
art,Adult,f,0.054,0.126,0.03,0.078
ath,Adult,f,0.056,0.061,0.03,0.041
bail,Adult,f,0.051,0.085,0.029,0.042
bam,Adult,f,0.167,0.13,0.051,0.054
bb,Adult,f,0.065,0.076,0.042,0.052
bern,Adult,f,0.03,0.069,0.02,0.031
bf,Adult,f,0.157,0.137,0.045,0.043
bm,Adult,f,0.036,0.058,0.012,0.019
bsh,Adult,f,0.131,0.106,0.068,0.066
cam,Adult,f,0.023,0.022,0.027,0.045
chw,Adult,f,0.026,0.042,0.021,0.029
coch,Adult,f,0.206,0.24,0.069,0.088
coo,Adult,f,0.01,0.03,0.011,0.033
cr,Adult,f,0.144,0.111,0.03,0.031
csl,Adult,f,0.194,0.298,0.078,0.094
csn,Adult,f,0.026,0.054,0.016,0.034
dj,Adult,f,0.227,0.157,0.082,0.067
dps,Adult,f,0.093,0.137,0.056,0.085
es,Adult,f,0.101,0.08,0.046,0.036
gan,Adult,f,0.048,0.014,0.031,0.012
ger,Adult,f,0.057,0.071,0.031,0.043
gil,Adult,f,0.103,0.102,0.074,0.058
gol,Adult,f,0.066,0.063,0.035,0.025
gui,Adult,f,0.104,0.056,0.056,0.045
gw,Adult,f,0.098,0.173,0.032,0.042
hem,Adult,f,0.066,0.053,0.046,0.04
hg,Adult,f,0.086,0.092,0.031,0.037
hk,Adult,f,0.089,0.117,0.092,0.052
hml,Adult,f,0.041,0.048,0.031,0.035
hob,Adult,f,0.063,0.047,0.028,0.022
jab,Adult,f,0.072,0.072,0.049,0.049
jb,Adult,f,0.084,0.1,0.048,0.048
jj,Adult,f,0.074,0.096,0.038,0.043
jut,Adult,f,0.02,0.026,0.014,0.019
kb,Adult,f,0.122,0.103,0.07,0.084
kip,Adult,f,0.061,0.096,0.036,0.053
lg,Adult,f,0.08,0.086,0.047,0.052
mali,Adult,f,0.039,0.053,0.024,0.032
mp,Adult,f,0.063,0.061,0.027,0.037
mrph,Adult,f,0.065,0.085,0.027,0.046
mw,Adult,f,0.142,0.141,0.07,0.057
nav,Adult,f,0.051,0.063,0.029,0.042
oke,Adult,f,0.061,0.055,0.028,0.04
ot,Adult,f,0.151,0.148,0.052,0.053
par,Adult,f,0.104,0.124,0.029,0.03
pt,Adult,f,0.07,0.059,0.04,0.031
puc,Adult,f,0.052,0.045,0.045,0.041
rv,Adult,f,0.045,0.07,0.032,0.042
sd,Adult,f,0.077,0.1,0.055,0.06
sein,Adult,f,0.052,0.081,0.02,0.039
sr,Adult,f,0.14,0.135,0.072,0.075
sx,Adult,f,0.067,0.076,0.045,0.047
ua,Adult,f,0.114,0.125,0.042,0.052
whh,Adult,f,0.025,0.029,0.015,0.025
who,Adult,f,0.069,0.074,0.038,0.043
wr,Adult,f,0.027,0.038,0.041,0.051
zim,Adult,f,0.034,0,0.023,0.025
agp,Adult,m,0.055,0.032,0.026,0.011
ap,Adult,m,0.135,0.144,0.033,0.086
bacc,Adult,m,0.044,0.036,0.026,0.02
baj,Adult,m,0.028,0.026,0.018,0.029
bal,Adult,m,0.04,0.027,0.029,0.025
bo,Adult,m,0.01,0.026,0.003,0.017
bud,Adult,m,0.047,0.108,0.047,0.057
chy,Adult,m,0.099,0.121,0.037,0.049
cpa,Adult,m,0.023,0.029,0.02,0.019
cuj,Adult,m,0.039,0.044,0.024,0.035
darw,Adult,m,0.036,0.054,0.01,0.022
dd,Adult,m,0.052,0.043,0.028,0.025
dg,Adult,m,0.049,0.024,0.042,0.031
dna,Adult,m,0.031,0.105,0.011,0.053
foz,Adult,m,0.011,0.03,0.02,0.036
her,Adult,m,0.037,0.021,0.025,0.019
hp,Adult,m,0.111,0.091,0.083,0.071
ind,Adult,m,0.026,0.04,0.012,0.03
irq,Adult,m,0.037,0.041,0.023,0.038
jas,Adult,m,0.008,0.043,0.018,0.029
kbk,Adult,m,0.048,0.105,0.032,0.052
kdy,Adult,m,0.014,0.043,0.015,0.04
kon,Adult,m,0.03,0.059,0.021,0.025
ldv,Adult,m,0.038,0.044,0.036,0.039
lh,Adult,m,0.032,0.152,0.04,0.086
linc,Adult,m,0.052,0.049,0.03,0.031
mca,Adult,m,0.016,0.024,0.011,0.012
mojo,Adult,m,0.022,0.033,0.011,0.02
mrs,Adult,m,0.04,0.055,0.041,0.067
mu,Adult,m,0.014,0.029,0.023,0.034
nod,Adult,m,0.028,0.048,0.021,0.032
nxn,Adult,m,0.027,0.056,0.025,0.048
oly,Adult,m,0.044,0.075,0.026,0.03
ome,Adult,m,0.033,0.076,0.025,0.059
pb,Adult,m,0.119,0.066,0.054,0.033
pp,Adult,m,0.029,0.064,0.025,0.04
rub,Adult,m,0.016,0.03,0.016,0.022
sb,Adult,m,0.01,0.076,0.009,0.06
sco,Adult,m,0.022,0.057,0.029,0.049
sher,Adult,m,0.091,0.043,0.046,0.04
sun,Adult,m,0.004,0.014,0.001,0.017
tdum,Adult,m,0.033,0.05,0.017,0.024
ud,Adult,m,0.004,0,0.018,0.029
whi,Adult,m,0.027,0.027,0.022,0.019
yet,Adult,m,0.038,0.056,0.021,0.039
zulu,Adult,m,0.015,0.041,0.017,0.031
amar,Den_cub,f,0.244,0.302,0.107,0.098
arse,Den_cub,f,0.093,0.145,0.022,0.09
b,Den_cub,f,0.306,0.475,0.127,0.149
bail,Den_cub,f,0.139,0.158,0.12,0.111
bass,Den_cub,f,0.212,0.153,0.126,0.061
bb,Den_cub,f,0.278,0.209,0.118,0.068
bm,Den_cub,f,0.471,0.317,0.142,0.059
bnd,Den_cub,f,0.027,0.069,0.038,0.058
boba,Den_cub,f,0.046,0.113,0.008,0.012
bsp,Den_cub,f,0.081,0.097,0.073,0.081
cam,Den_cub,f,0.186,0.182,0.087,0.067
cap,Den_cub,f,0.218,0.223,0.041,0.098
chw,Den_cub,f,0.033,0.117,0.039,0.104
cnti,Den_cub,f,0.111,0.143,0.053,0.051
dfy,Den_cub,f,0.046,0.027,0.062,0.068
dyl,Den_cub,f,0.09,0.021,0.054,0.095
fg,Den_cub,f,0.483,0.702,0.047,0.121
fp,Den_cub,f,0.067,0.078,0.11,0.085
gil,Den_cub,f,0.08,0.034,0.11,0.031
gol,Den_cub,f,0.369,0.274,0.097,0.003
gui,Den_cub,f,0.205,0.051,0.088,0.089
hk,Den_cub,f,0.404,0.202,0.068,0.086
hob,Den_cub,f,0.37,0.274,0.094,0.003
hoo,Den_cub,f,0.056,0.05,0.084,0.078
hrp,Den_cub,f,0.214,0.158,0.126,0.062
jab,Den_cub,f,0.183,0.139,0.077,0.093
jb,Den_cub,f,0.121,0.139,0.136,0.071
je,Den_cub,f,0.327,0.297,0.106,0.122
jet,Den_cub,f,0.017,0.021,0.099,0.067
jone,Den_cub,f,0.116,0.06,0.064,0.019
kier,Den_cub,f,0.051,0.124,0.04,0.057
kip,Den_cub,f,0.162,0.13,0.112,0.064
kl,Den_cub,f,0.579,0.403,0.145,0.057
lop,Den_cub,f,0.14,0.137,0.094,0.095
mar,Den_cub,f,0.268,0.293,0.106,0.088
mh,Den_cub,f,0.152,0.106,0.105,0.032
mos,Den_cub,f,0.089,0.185,0.028,0.129
mp,Den_cub,f,0.309,0.282,0.101,0.03
mrph,Den_cub,f,0.145,0.103,0.048,0.038
oke,Den_cub,f,0.422,0.227,0.067,0.074
par,Den_cub,f,0.185,0.076,0.097,0.031
pr,Den_cub,f,0.331,0.533,0.078,0.15
pt,Den_cub,f,0.302,0.35,0.063,0.089
rm,Den_cub,f,0.588,0.398,0.149,0.057
rum,Den_cub,f,0.341,0.254,0.159,0.108
rump,Den_cub,f,0.065,0.037,0.158,0.053
rv,Den_cub,f,0.538,0.699,0.069,0.134
sals,Den_cub,f,0.194,0.083,0.137,0.028
scby,Den_cub,f,0.107,0.105,0.069,0.06
scy,Den_cub,f,0.65,0.281,0.095,0.085
sd,Den_cub,f,0.41,0.192,0.063,0.097
sein,Den_cub,f,0.108,0.15,0.046,0.094
sls,Den_cub,f,0.136,0.087,0.049,0.082
sqa,Den_cub,f,0.209,0.312,0.058,0.052
tang,Den_cub,f,0.123,0.08,0.098,0.022
tia,Den_cub,f,0.098,0.184,0.035,0.127
tinu,Den_cub,f,0.253,0.13,0.184,0.122
tq,Den_cub,f,0.227,0.101,0.07,0.089
viv,Den_cub,f,0.153,0.165,0.107,0.023
wat,Den_cub,f,0.065,0.112,0.01,0.028
wm,Den_cub,f,0.133,0.115,0.117,0.048
wr,Den_cub,f,0.153,0.106,0.109,0.032
yoda,Den_cub,f,0.046,0.117,0.008,0.012
yog,Den_cub,f,0.032,0.058,0.05,0.065
zim,Den_cub,f,0.255,0.233,0.07,0.087
zor,Den_cub,f,0.47,0.327,0.133,0.071
ap,Den_cub,m,0.427,0.433,0.145,0.149
arlo,Den_cub,m,0.022,0.028,0.075,0.077
ast,Den_cub,m,0.103,0.119,0.096,0.036
bag,Den_cub,m,0.349,0.39,0.06,0.074
baj,Den_cub,m,0.129,0.158,0.093,0.077
bal,Den_cub,m,0.142,0.174,0.098,0.088
bg,Den_cub,m,0.242,0.259,0.093,0.067
bo,Den_cub,m,0.258,0.161,0.15,0.116
boa,Den_cub,m,0.054,0.047,0.042,0.011
bud,Den_cub,m,0.286,0.208,0.118,0.07
chob,Den_cub,m,0.1,0.069,0.038,0.043
choc,Den_cub,m,0.325,0.262,0.15,0.113
cnet,Den_cub,m,0.083,0.029,0.023,0.041
cous,Den_cub,m,0.101,0.176,0.03,0.123
crk,Den_cub,m,0.066,0.11,0.009,0.026
cuj,Den_cub,m,0.075,0.1,0.014,0.021
cyp,Den_cub,m,0.179,0.312,0.042,0.052
darw,Den_cub,m,0.139,0.078,0.061,0.029
dd,Den_cub,m,0.295,0.282,0.099,0.03
del,Den_cub,m,0.08,0.034,0.098,0.093
dg,Den_cub,m,0.49,0.689,0.046,0.118
ed,Den_cub,m,0.291,0.308,0.142,0.082
foz,Den_cub,m,0.218,0.249,0.045,0.065
fro,Den_cub,m,0.284,0.169,0.143,0.109
frr,Den_cub,m,0.119,0.082,0.082,0.056
gyp,Den_cub,m,0.174,0.107,0.147,0.135
hp,Den_cub,m,0.299,0.351,0.063,0.088
ind,Den_cub,m,0.179,0.164,0.133,0.089
irq,Den_cub,m,0.089,0.058,0.08,0.086
jas,Den_cub,m,0.242,0.335,0.058,0.056
jup,Den_cub,m,0.142,0.128,0.042,0.083
kik,Den_cub,m,0.056,0.161,0.039,0.114
kk,Den_cub,m,0.656,0.278,0.095,0.066
kon,Den_cub,m,0.245,0.288,0.09,0.083
krk,Den_cub,m,0.208,0.195,0.089,0.1
kxb,Den_cub,m,0.206,0.19,0.087,0.094
ldn,Den_cub,m,0.351,0.531,0.079,0.149
ldv,Den_cub,m,0.415,0.231,0.061,0.074
lf,Den_cub,m,0.166,0.136,0.111,0.069
maka,Den_cub,m,0.061,0.051,0.097,0.118
mca,Den_cub,m,0.248,0.312,0.055,0.053
mdsn,Den_cub,m,0.118,0.138,0.04,0.141
mge,Den_cub,m,0.036,0.023,0.04,0.053
mk,Den_cub,m,0.105,0.353,0.079,0.135
mnr,Den_cub,m,0.132,0.133,0.05,0.131
moil,Den_cub,m,0.03,0.029,0.04,0.065
mrs,Den_cub,m,0.139,0.123,0.044,0.083
mu,Den_cub,m,0.342,0.307,0.116,0.13
ntz,Den_cub,m,0.042,0.125,0.023,0.056
opa,Den_cub,m,0.235,0.246,0.055,0.063
orff,Den_cub,m,0.148,0.165,0.113,0.023
pcs,Den_cub,m,0.101,0.217,0.01,0.061
pky,Den_cub,m,0.28,0.108,0.078,0.02
pp,Den_cub,m,0.043,0.176,0.088,0.138
rinc,Den_cub,m,0.114,0.06,0.062,0.019
rslg,Den_cub,m,0.111,0.141,0.055,0.05
rub,Den_cub,m,0.235,0.259,0.055,0.065
sb,Den_cub,m,0.534,0.701,0.073,0.128
scar,Den_cub,m,0.219,0.222,0.05,0.113
sco,Den_cub,m,0.225,0.24,0.043,0.061
shb,Den_cub,m,0.133,0.161,0.025,0.024
sir,Den_cub,m,0.097,0.122,0.087,0.022
sun,Den_cub,m,0.109,0.229,0.107,0.058
tdum,Den_cub,m,0.096,0.131,0.031,0.041
tsa,Den_cub,m,0.333,0.312,0.14,0.09
wh,Den_cub,m,0.096,0.253,0.134,0.189
whi,Den_cub,m,0.104,0.218,0.009,0.06
wrl,Den_cub,m,0.091,0.123,0.019,0.027
yet,Den_cub,m,0.077,0.101,0.013,0.022
zulu,Den_cub,m,0.079,0.125,0.097,0.017
adon,Den_graduate,f,0.072,0.103,0.035,0.056
ali,Den_graduate,f,0.047,0.082,0.039,0.037
amar,Den_graduate,f,0.121,0.108,0.046,0.047
ani,Den_graduate,f,0.039,0.143,0.022,0.055
arse,Den_graduate,f,0.112,0.083,0.061,0.051
art,Den_graduate,f,0.077,0.075,0.032,0.045
ath,Den_graduate,f,0.092,0.112,0.027,0.073
b,Den_graduate,f,0.179,0.189,0.097,0.072
bail,Den_graduate,f,0.195,0.067,0.079,0.067
bb,Den_graduate,f,0.184,0.143,0.064,0.088
bern,Den_graduate,f,0.029,0.069,0.029,0.059
bil,Den_graduate,f,0.059,0.063,0.019,0.037
bm,Den_graduate,f,0.077,0.167,0.038,0.09
bsp,Den_graduate,f,0.044,0.051,0.03,0.054
cam,Den_graduate,f,0.072,0.062,0.041,0.048
chw,Den_graduate,f,0.078,0.071,0.037,0.054
coo,Den_graduate,f,0.048,0.086,0.026,0.068
cr,Den_graduate,f,0.077,0.142,0.04,0.047
csn,Den_graduate,f,0.076,0.089,0.022,0.039
gan,Den_graduate,f,0.113,0.11,0.031,0.077
ger,Den_graduate,f,0.123,0.109,0.063,0.059
gil,Den_graduate,f,0.143,0.12,0.087,0.083
gin,Den_graduate,f,0.135,0.126,0.056,0.083
gol,Den_graduate,f,0.06,0.123,0.052,0.083
gui,Den_graduate,f,0.07,0.099,0.051,0.053
hem,Den_graduate,f,0.073,0.103,0.033,0.054
hg,Den_graduate,f,0.104,0.236,0.074,0.077
hk,Den_graduate,f,0.116,0.103,0.036,0.08
hml,Den_graduate,f,0.108,0.122,0.036,0.045
hob,Den_graduate,f,0.061,0.12,0.041,0.058
hoo,Den_graduate,f,0.044,0.061,0.03,0.036
hrp,Den_graduate,f,0.046,0.08,0.016,0.031
jab,Den_graduate,f,0.135,0.168,0.086,0.109
jb,Den_graduate,f,0.118,0.099,0.072,0.064
je,Den_graduate,f,0.139,0.219,0.038,0.082
jj,Den_graduate,f,0.192,0.227,0.075,0.07
jone,Den_graduate,f,0.068,0.089,0.031,0.051
jut,Den_graduate,f,0.049,0.08,0.026,0.056
kier,Den_graduate,f,0.064,0.08,0.035,0.051
kip,Den_graduate,f,0.064,0.062,0.041,0.052
kl,Den_graduate,f,0.246,0.232,0.041,0.048
lop,Den_graduate,f,0.103,0.1,0.058,0.059
mac,Den_graduate,f,0.054,0.047,0.052,0.061
mali,Den_graduate,f,0.053,0.106,0.038,0.067
mh,Den_graduate,f,0.131,0.098,0.064,0.072
mp,Den_graduate,f,0.075,0.205,0.045,0.072
mrph,Den_graduate,f,0.085,0.099,0.038,0.043
mw,Den_graduate,f,0.143,0.067,0.079,0.062
nav,Den_graduate,f,0.092,0.114,0.054,0.059
nola,Den_graduate,f,0.046,0.074,0.031,0.049
oke,Den_graduate,f,0.126,0.074,0.044,0.069
par,Den_graduate,f,0.043,0.015,0.036,0.039
psy,Den_graduate,f,0.054,0.198,0.047,0.086
pt,Den_graduate,f,0.148,0.179,0.076,0.096
puc,Den_graduate,f,0.12,0.121,0.034,0.047
rm,Den_graduate,f,0.124,0.137,0.034,0.042
rump,Den_graduate,f,0.019,0.032,0.028,0.045
rv,Den_graduate,f,0.136,0.268,0.047,0.064
scy,Den_graduate,f,0.069,0,0.052,0.069
sd,Den_graduate,f,0.115,0.101,0.035,0.061
sein,Den_graduate,f,0.118,0.09,0.065,0.052
sie,Den_graduate,f,0.032,0.065,0.01,0.031
sqa,Den_graduate,f,0.052,0.059,0.033,0.036
str,Den_graduate,f,0.023,0.023,0.051,0.037
sud,Den_graduate,f,0.074,0.152,0.031,0.051
sx,Den_graduate,f,0.179,0.226,0.038,0.082
ua,Den_graduate,f,0.081,0.145,0.097,0.07
whh,Den_graduate,f,0.056,0.072,0.039,0.048
who,Den_graduate,f,0.125,0.131,0.073,0.095
wr,Den_graduate,f,0.085,0.094,0.057,0.064
yoda,Den_graduate,f,0.055,0.073,0.027,0.029
yog,Den_graduate,f,0.045,0.05,0.022,0.075
zc,Den_graduate,f,0.065,0.084,0.032,0.052
zim,Den_graduate,f,0.179,0.067,0.037,0.027
zing,Den_graduate,f,0.057,0.208,0.047,0.089
agp,Den_graduate,m,0.353,0.074,0.045,0.085
ap,Den_graduate,m,0.181,0.411,0.096,0.097
bacc,Den_graduate,m,0.074,0.045,0.031,0.034
bag,Den_graduate,m,0.01,0.114,0.037,0.04
baj,Den_graduate,m,0.066,0.078,0.035,0.057
bal,Den_graduate,m,0.073,0.072,0.044,0.05
bo,Den_graduate,m,0.13,0.184,0.067,0.08
boa,Den_graduate,m,0.05,0.081,0.037,0.038
brn,Den_graduate,m,0.083,0.134,0.032,0.071
bud,Den_graduate,m,0.176,0.15,0.067,0.098
chob,Den_graduate,m,0.031,0.048,0.019,0.029
chy,Den_graduate,m,0.152,0.29,0.044,0.099
cnet,Den_graduate,m,0.035,0.04,0.025,0.046
cpa,Den_graduate,m,0.064,0.081,0.029,0.062
cuj,Den_graduate,m,0.048,0.075,0.015,0.006
darw,Den_graduate,m,0.085,0.093,0.04,0.084
dd,Den_graduate,m,0.066,0.284,0.051,0.063
del,Den_graduate,m,0.027,0.049,0.045,0.055
dg,Den_graduate,m,0.164,0.241,0.04,0.04
dna,Den_graduate,m,0.055,0.094,0.023,0.055
foz,Den_graduate,m,0.075,0.034,0.028,0.027
frr,Den_graduate,m,0.008,0.042,0.017,0.041
gdz,Den_graduate,m,0.048,0.09,0.024,0.065
gm,Den_graduate,m,0.074,0.021,0.057,0.027
gonz,Den_graduate,m,0.088,0.1,0.029,0.05
gyp,Den_graduate,m,0.094,0.071,0.058,0.095
hd,Den_graduate,m,0.228,0.414,0.108,0.096
her,Den_graduate,m,0.086,0.111,0.027,0.075
hp,Den_graduate,m,0.181,0.237,0.045,0.076
ind,Den_graduate,m,0.05,0.06,0.04,0.053
irq,Den_graduate,m,0.071,0.081,0.034,0.045
jas,Den_graduate,m,0.068,0.095,0.035,0.042
jup,Den_graduate,m,0.065,0.038,0.024,0.039
kang,Den_graduate,m,0.086,0.121,0.035,0.07
kbk,Den_graduate,m,0.208,0.149,0.104,0.091
kdy,Den_graduate,m,0.105,0.08,0.028,0.042
kon,Den_graduate,m,0.142,0.137,0.04,0.029
krk,Den_graduate,m,0.113,0.098,0.046,0.084
ktn,Den_graduate,m,0.047,0.065,0.029,0.051
kxb,Den_graduate,m,0.118,0.107,0.062,0.073
ldv,Den_graduate,m,0.149,0.087,0.032,0.055
lh,Den_graduate,m,0.009,0.082,0.031,0.063
linc,Den_graduate,m,0.042,0.127,0.018,0.053
mca,Den_graduate,m,0.072,0.043,0.038,0.034
mojo,Den_graduate,m,0.042,0.083,0.021,0.044
mrs,Den_graduate,m,0.072,0.04,0.034,0.042
mu,Den_graduate,m,0.218,0.188,0.057,0.078
nod,Den_graduate,m,0.123,0.16,0.022,0.046
ntz,Den_graduate,m,0.06,0.075,0.029,0.032
nxn,Den_graduate,m,0.102,0.084,0.027,0.039
oly,Den_graduate,m,0.093,0.113,0.048,0.072
ome,Den_graduate,m,0.069,0.111,0.029,0.05
pb,Den_graduate,m,0.209,0.134,0.1,0.095
pims,Den_graduate,m,0.105,0.259,0.037,0.064
pky,Den_graduate,m,0.033,0.109,0.037,0.033
pp,Den_graduate,m,0.031,0.089,0.04,0.076
q,Den_graduate,m,0.209,0.144,0.098,0.096
rg,Den_graduate,m,0.105,0.134,0.058,0.12
rinc,Den_graduate,m,0.059,0.102,0.033,0.053
rub,Den_graduate,m,0.087,0.048,0.027,0.026
sb,Den_graduate,m,0.22,0.487,0.042,0.041
scar,Den_graduate,m,0.128,0.06,0.07,0.046
sch,Den_graduate,m,0.076,0.225,0.022,0.11
sco,Den_graduate,m,0.081,0.013,0.027,0.088
shb,Den_graduate,m,0.107,0.136,0.012,0.005
sir,Den_graduate,m,0.057,0.057,0.028,0.063
sks,Den_graduate,m,0.163,0.18,0.049,0.056
sun,Den_graduate,m,0.046,0.097,0.06,0.05
tdum,Den_graduate,m,0.069,0.064,0.049,0.048
tit,Den_graduate,m,0.097,0.258,0.028,0.052
tsa,Den_graduate,m,0.055,0,0.039,0.036
ud,Den_graduate,m,0.058,0.047,0.036,0.061
wh,Den_graduate,m,0.125,0.018,0.089,0.029
whi,Den_graduate,m,0.043,0.058,0.028,0.029
yet,Den_graduate,m,0.052,0.094,0.018,0.014
zulu,Den_graduate,m,0.083,0.058,0.047,0.045
